timestamp,timeframe,strategy_name,strategy_signal,ml_prediction,ml_confidence,decision,confidence,reason,risk_assessment,model,cached,prompt_hash,error
2024-01-17 08:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.34204860684569083,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-01-28 00:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.35396317615281947,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-02-01 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.34070179920159677,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-02-05 16:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.377138274434478,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-02-06 00:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3944953711375285,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-02-07 04:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3554009576426405,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-02-09 20:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.4594188570230345,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-02-11 04:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.5316021295717355,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-02-21 20:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.3411131692902498,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-02-24 16:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3845563521174364,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-02-26 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.44600291262826697,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-02-27 20:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.4003997746873182,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-02-29 16:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.40771284461355983,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-03-05 04:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.3603088676395279,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-03-05 20:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.3832374721184051,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-03-14 20:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.3673382995861721,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-03-19 08:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.39293750475611766,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-03-21 00:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.3520223799656266,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-03-21 12:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.35094959941702986,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-03-25 00:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.37746331998906174,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-04-01 16:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.35342859300799134,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-04-02 08:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.5024366198801817,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-04-05 04:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.34828363327001766,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-04-05 16:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3448802987354694,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-04-06 08:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.4530549896286513,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-04-06 16:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.39043465752168527,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-04-10 04:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.4728389985483681,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-04-10 16:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.34720679357586376,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-04-13 00:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.4110926561141925,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-04-19 20:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.358983839959697,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-04-22 20:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3721267688442788,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-04-24 16:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.4174908999293082,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-04-30 00:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3363699968733105,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-05 00:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.3502405330142891,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-08 00:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.3428345993588294,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-08 04:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.4145617693067249,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-10 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.386218897118778,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-14 08:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.36007161655732484,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-15 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.5077555844601439,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-24 12:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.3477603875151384,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-27 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.43832807665208623,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-29 00:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3619152497390745,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-30 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.34895177375882835,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-05-31 08:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3593931040607612,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-02 08:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.36499008068402555,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-03 00:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3602778834003437,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-10 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.3725799433686888,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-11 04:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.4850194660404896,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-12 16:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.3450116903745779,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-20 12:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.34602215318023466,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-06-24 20:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.4151497725228477,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-02 12:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.3512307572742132,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-10 12:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.33784083023700334,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-11 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.35690571183888725,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-12 16:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.35603650640305556,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-14 12:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.39132956090689985,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-23 20:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.35974289066665033,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-07-25 20:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.34326332973888607,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-01 00:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3953925889259608,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-05 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.40299501965755424,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-11 16:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.35298867310965404,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-12 16:00:00+00:00,4h,ema_rsi_trend,SHORT,LONG,0.34206687359653304,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-14 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.34356785164542675,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-15 16:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3667390119995025,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-16 20:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.3649798551426039,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-17 08:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.4585419402117263,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-18 20:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3611662567846392,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-20 12:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.3780446181598496,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-20 20:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.36561281505474325,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-21 16:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.39123815326247574,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-08-28 04:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.5078068218037012,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-09-12 08:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3353334967205742,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-09-17 04:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.3459967200920067,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-01 20:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.4816288184496185,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-07 00:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.4212362059800888,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-08 00:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.34416878482596247,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-08 08:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3426422347379556,LONG,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
2024-10-08 20:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.3699002414019907,SHORT,100,Control arm: approves every signal without judgement.,MODERATE,always_agree,False,,
